data_base,mantidos_total,rep_uniao,rep_estados_df,rep_municipios,n_instituicoes_mantidos,repassado_total,estoque_ampliado,cr1,cr2,cr5,hhi,n_instituicoes
202501,390096852233.24,352415424080.11,78306443033.12,25282367601.57,14,456004234714.8,846101086948.0399,0.6323827951349452,0.9152829624593571,0.9934963939453346,4826.893750378816,14
202502,391342124166.7401,355400202579.91,78873550823.25,25381145732.180004,14,459654899135.33997,850997023302.0802,0.6323621015221195,0.9169604984351388,0.9933491594259064,4834.373760506895,14
202503,393972295313.87006,357529679850.32,78889503150.67,25223024529.779995,14,461642207530.76996,855614502844.6401,0.6323919035596427,0.9173119884279001,0.9928654113673888,4835.947667758106,14
202504,398107555322.6599,359316109316.97,79318819748.23,25214502575.570004,14,463849431640.76996,861956986963.4298,0.6252259921323639,0.9114102878897499,0.9927939966349173,4758.101678418532,14
202505,396989887897.93,362774118723.68,79823615104.95001,25333760274.320004,14,467931494102.95,864921382000.88,0.6284759492432425,0.9103393380559062,0.9927169610289585,4774.866261788954,14
202506,399666392641.6599,366398848668.05,80799231682.20001,25691867819.32,14,472889948169.57,872556340811.2299,0.6275580280543859,0.9087846619183064,0.9927384793282031,4760.336860025227,14
202507,456162653942.4699,368923024023.63,81124890072.9,25370941841.82,14,475418855938.35004,931581509880.8198,0.606388974493264,0.9197395057673501,0.9935352121967183,4683.1476313034555,14
202508,438461349949.39,372189407606.63,81484806274.3,25470558064.559998,14,479144771945.49,917606121894.8801,0.6173863887961752,0.915938551167111,0.9932248542124796,4729.516903876631,14
202509,427536290020.51996,374704710353.24,82315023016.1,25450312967.97,14,482470046337.30994,910006336357.83,0.6118806561237274,0.9079459133082457,0.9930928905556106,4654.141008714303,14
202510,404129545615.51013,378159489973.96,76469932862.93,23635538319.04,13,478264961155.93,882394506771.4402,0.6467506102011634,0.9571832104631552,0.9982097223581164,5154.047121507282,13
202511,427467964800.36993,380964688742.96,82639807298.02,25471109769.479996,14,489075605810.46,916543570610.83,0.6249031135313484,0.905946754070388,0.9931581382586746,4729.579867117726,14
202512,400520118324.1401,383703580039.73,76597298837.13,23690341105.170002,13,483991219982.02997,884511338306.1702,0.6577400143789783,0.9537026728573887,0.9981808943652353,5211.248337642173,13
202601,403138020829.11993,386974460313.42,76180706956.61,23868714279.54,13,487023881549.56995,890161902378.69,0.6590045816583266,0.9537541871213073,0.9981888268490322,5220.7256875912435,13
202602,403676749123.7701,394135131866.08,77016677959.48,23991152646.600002,13,495142962472.16,898819711595.93,0.6595575626371201,0.9537329172988767,0.9981830222206947,5224.63325246965,13
202603,470365964050.93005,396405350391.71,77723067747.31,24024354167.98,13,498152772307.0,968518736357.9302,0.6312048603183218,0.9598710514615676,0.9984317181279936,5071.253178046866,13
