tribunal_sigla,banco_nome_curto,cnpj_raiz,papel,instrumento,data_inicio,data_fim,exclusividade,tipos_valores,contraprestacao_condicoes,saldo_informado,saldo_data_base,saldo_fonte,fonte_url,data_fonte,status
TJDFT,BRB,00000208,estoque_legado,"Credenciamento (2021), vigência encerrada em 14/05/2026",2021,2026-05-14,sim (até 05/2026),"depósitos judiciais; contas vinculadas; precatórios GDF","Contraprestação não divulgada. Estoque de ~R$ 8,4 bi permanece no BRB até exaurimento; novos depósitos em contas já vinculadas e precatórios do GDF seguem no BRB",8400000000,2026-05,TJDFT (notícia oficial),https://www.tjdft.jus.br/institucional/imprensa/noticias/2026/maio/depositos-judiciais-do-tjdft-passam-a-ser-direcionados-a-caixa-economica-federal-a-partir-desta-sexta-feira,2026-05-15,confirmado_fonte_primaria
TJDFT,Caixa,00360305,novos_fluxos,"Contrato provisório de 6 meses (ponte até novo credenciamento)",2026-05-15,2026-11,provisória,"novos depósitos judiciais","Contrato emergencial até novo edital de credenciamento (~120 dias); alvarás provisoriamente pelo PJe até integração da Caixa ao BANKJUS",,,,https://www.tjdft.jus.br/institucional/imprensa/noticias/2026/maio/depositos-judiciais-do-tjdft-passam-a-ser-direcionados-a-caixa-economica-federal-a-partir-desta-sexta-feira,2026-05-15,confirmado_fonte_primaria
TJBA,BRB,00000208,ambos,"Pregão Presencial nº 001/2021 (BRB único proponente); transição do estoque do BB em 2024–2025",2021,,não localizado,"captação e administração de depósitos judiciais; precatórios e RPV","Substituiu contratação direta com o BB por determinação do CNJ; carteira >R$ 8 bi e >487 mil contas; alvarás via BRBJus/Pix; contraprestação não divulgada",8000000000,2025-11,TJBA/imprensa,https://www.tjba.jus.br/portal/depositos-judiciais/,2025-11-27,parcial
TJAL,BRB,00000208,ambos,"Contrato nº 50/2024 (licitação); operações desde 16/12/2024",2024-12-16,,não localizado,"depósitos judiciais; alvarás via Pix","~R$ 3 bi sob gestão; contraprestação não divulgada",3000000000,2026-02,imprensa,https://novo.brb.com.br/imprensa/brb-inicia-operacoes-de-alvaras-judiciais-no-tribunal-de-justica-de-alagoas/,2024-12,confirmado_imprensa
TJPB,BRB,00000208,ambos,"Contrato assinado em 18/03/2025 (licitação; Caixa disputou, BB não participou); operações desde 14/04/2025",2025-03-18,,não localizado,"depósitos judiciais; alvarás; precatórios e RPV","~R$ 2,6 bi sob gestão; Pix judicial desde mar/2025; contraprestação não divulgada",2600000000,2026-02,TJPB/imprensa,https://www.tjpb.jus.br/noticia/tjpb-assina-contrato-com-brb-apos-licitacao-para-gestao-de-depositos-e-alvaras-judiciais,2025-03,confirmado_fonte_primaria
TJMA,BRB,00000208,ambos,"Contrato nº 85/2025 (contratação direta sem licitação, segundo imprensa), assinado em 20/08/2025; transição desde 12/09/2025",2025-08-20,2030,sim,"depósitos judiciais e administrativos; fianças; precatórios e RPV","Contrato estimado em ~R$ 200 mi (imprensa); ~R$ 2,8 bi transferidos do BB; CNJ cobrou explicações em fev/2026",2800000000,2026-02,CNJ/imprensa,https://www.tjma.jus.br/midia/portal/noticia/519009/tjma-inicia-transicao-de-depositos-judiciais-para-o-banco-de-brasilia,2025-09-12,confirmado_fonte_primaria
TJSP,Banco do Brasil,00000000,ambos,"Renovação assinada em 19/06/2024 (prazo de 4 anos)",2024-06-19,2028,não localizado,"administração e gerenciamento dos depósitos judiciais","Valores não divulgados",,,,https://www.tjsp.jus.br/Noticias/Noticia?codigoNoticia=99611,2024-06-19,confirmado_fonte_primaria
TJRS,Banrisul,92702067,ambos,"Contrato assinado em 14/09/2018, após licitação (STF havia declarado inconstitucional a lei estadual de 2001)",2018-09-14,,sim,"gestão financeira dos depósitos judiciais","Contrato prevê contraprestação pecuniária pelo direito de exclusividade (valor não localizado); renovações pós-2018 não localizadas",,,,https://www.tjrs.jus.br/novo/noticia/tjrs-e-banrisul-assinam-contrato-envolvendo-gerenciamento-dos-depositos-judiciais/,2018-09-14,confirmado_fonte_primaria
TJES,Banestes,28127603,ambos,"Modelo legal: Lei estadual 4.569/1991; Lei 8.386/2006; Ato Normativo Conjunto nº 036/2018",1991,,sim (por lei estadual),"depósitos judiciais do Judiciário estadual","Depósito obrigatório no Banestes por lei estadual; contrato formal específico não localizado",,,,https://www3.al.es.gov.br/Arquivo/Documents/legislacao/html/LO8386.html,2006,confirmado_fonte_primaria
TJSE,Banese,13009717,ambos,"Contrato nº 68/2016; renovação noticiada em maio/2023 por 5 anos",2016,2028,sim,"depósitos judiciais; precatórios e RPV","Gestão exclusiva; contraprestação não divulgada",,,,https://www.banese.com.br/setor-publico/produtos-e-servicos/servicos/gestao-de-depositos-judiciais,2023-05,confirmado_imprensa
